doc1_id,doc2_id,label,doc1_title,doc2_title
21,399,1,Nostalgia Electrics RHP-310 Motor Replacement,Hand-Held Blender Motor Replacement
64,188,1,Rival Mini Chopper MC-67BL Power Cord Replacement,Mr. Coffee BVMC-SJX33GT Power Cord Replacement
186,561,0,Mr. Coffee BVMC-SJX33GT Heating Plate Replacement,Insignia Ice Maker NS-IMP26SS7 Fan Replacement
247,398,0,De'Longhi EC155 Coffee PressReplacement,Princess Compact Blender Rubber Gasket Replacement
89,356,0,Professional Series PS77401 Chassis Replacement,Cuisinart DFP-14BCN Safety Switch Replacement
191,225,0,Capresso Perfectea 260 Lid Replacement,Motor and Cord Replacement
476,523,1,Ninja Mega Kitchen System BL770 Circuit Board Replacement,Vornado Duo Circuit Board Replacement
190,81,0,Comfort Zone CZ6C Power Cable Replacement,iRobot Roomba 551 Faceplate Replacement
233,41,0,ARC-914SBD Control Module Replacement,Dyson DC14 Brush Bar Replacement
43,164,1,Repairing Black and Decker BL3000S Power Cord,XQ-673H Power Cord Replacement
32,65,0,Breville BKC600XL On/Off Switch Replacement,Rival Mini Chopper MC-67BL Power Button Replacement
74,305,1,Mr. Coffee TF6 Power Cord Replacement,Hamilton Beach 64650 Power Cord Replacement
367,480,1,Shark Rotator NV502 Roller Brush Replacement,Shark NV352 Roller Brush Replacement
416,62,0,Braun M1000 gearbox Replacement,Rival Mini Chopper MC-67BL Turning Gears Replacement
194,433,1,Ninja NJ600 Circuit Board Replacement,Black and Decker TR1278B Circuit Board Replacement
222,595,0,Cuisinart Smart Stick CSB-75 Motor Replacement,Wolf Gourmet WGBL100S Blades Replacement
392,560,0,Hitachi HB-B102 Automatic Home Bakery  II Outer Casing Replacement,KitchenAid KSM150PSER Speed Control Plate Replacement
599,408,0,Keurig 2.0-400 Circuit Board Replacement,Hamilton Beach 70740 Power Cord Replacement
365,124,0,iRobot Roomba 770 Side Brush Motor Replacement,Swiffer SweeperVac Battery Replacement
154,603,1,Magic Bullet NutriBullet Power Cord Replacement,Wolf Gourmet WGBL100S Power Cord Replacement
229,210,0,Disassembling Chef's Choice M115 Case,Presto PopLite 04820 Motor Replacement
256,414,0,Black and Decker TO1303SB Heat Controls Replacement,Neato Botvac 80 Laser Replacement
315,381,0,AmazonBasics B00Q3KFX8U Power Switch Replacement,Tristar Handmixer Gears Replacement
512,541,1,Ninja Professional Blender BL660 Power Cord Replacement,Oster BLSTSS-PZO  Power Cord Replacement
64,546,1,Rival Mini Chopper MC-67BL Power Cord Replacement,Eureka EasyClean 71C Power Cord Replacement
338,525,0,Holmes Blizzard Fan Oscillation Button Replacement,Ninja Coffee Bar CF080 Power Module Replacement
123,250,1,Black and Decker 3-Cup Rice Cooker Power Cord Replacement,De'Longhi EC155 Power Cord Replacement
567,586,0,KitchenAid KSM150PSER Power Cord Replacement,Shark Professional Steam Pocket Mop  Open Mop Body Replacement
170,547,1,Hamilton Beach 25460Z LED Replacement,Ninja Professional BL610 LED Replacement
329,492,1,Keurig B60 Power Cord Replacement,Ninja Coffee Bar CF086 Power Cord Replacement
43,590,1,Repairing Black and Decker BL3000S Power Cord,Cuisinart CHW-12 Power Cord Replacement
429,346,0,iRobot Braava 320 Deck Plate Assembly  Replacement,Jura Wassertankdichtung - Water Tank Sealing Replacement
